0,1,2,3,4,5,6,7,8,9,10,11
2026/03/02,17:50,0.0,,35127,,11.08,,0.0,,30.4,
2026/03/02,18:00,0.0,,35146,,11.08,,0.0,,30.4,
2026/03/02,18:10,0.0,,35121,,11.51,,0.0,,30.4,
2026/03/02,18:20,0.0,,35121,,11.51,,0.0,,30.4,
2026/03/02,18:30,0.0,,35109,,11.22,,0.0,,30.4,
2026/03/02,18:40,0.0,,35115,,10.5,,0.0,,30.4,
2026/03/02,18:50,0.0,,35115,,11.37,,0.0,,30.4,
2026/03/02,19:00,0.0,,35091,,11.51,,0.0,,30.4,
2026/03/02,19:10,0.0,,35091,,11.51,,0.0,,30.4,
2026/03/02,19:20,0.0,,35078,,11.22,,0.0,,30.4,
2026/03/02,19:30,0.0,,35085,,11.08,,0.0,,30.4,
2026/03/02,19:40,0.0,,35085,,11.51,,0.0,,30.4,
2026/03/02,19:50,0.0,,35060,,11.51,,0.0,,30.4,
2026/03/02,20:00,0.0,,35048,,11.51,,0.0,,30.3,
2026/03/02,20:10,0.0,,35079,,11.08,,0.0,,30.4,
2026/03/02,20:20,0.0,,35066,,11.08,,0.0,,30.4,
2026/03/02,20:30,0.0,,35066,,11.51,,0.0,,30.4,
2026/03/02,20:40,0.0,,35054,,11.51,,0.0,,30.4,
2026/03/02,20:50,0.0,,35042,,11.37,,0.0,,30.3,
2026/03/02,21:00,0.0,,35073,,11.94,,0.0,,30.4,
2026/03/02,21:10,0.0,,35060,,11.51,,0.0,,30.4,
2026/03/02,21:20,0.0,,35060,,11.51,,0.0,,30.4,
2026/03/02,21:30,0.0,,35060,,11.51,,0.0,,30.4,
2026/03/02,21:40,0.0,,35060,,11.22,,0.0,,30.4,
2026/03/02,21:50,0.0,,35104,,11.37,,0.0,,30.4,
2026/03/02,22:00,0.0,,35104,,11.51,,0.0,,30.4,
2026/03/02,22:10,0.0,,35104,,11.51,,0.0,,30.4,
2026/03/02,22:20,0.0,,35104,,11.51,,0.0,,30.4,
2026/03/02,22:30,0.0,,35135,,11.51,,0.0,,30.4,
2026/03/02,22:40,0.0,,35147,,11.51,,0.0,,30.4,
2026/03/02,22:50,0.0,,35147,,11.51,,0.0,,30.4,
2026/03/02,23:00,0.0,,35147,,11.51,,0.0,,30.4,
2026/03/02,23:10,0.0,,35147,,11.08,,0.0,,30.4,
2026/03/02,23:20,0.0,,35178,,11.51,,0.0,,30.5,
2026/03/02,23:30,0.0,,35190,,11.51,,0.0,,30.5,
2026/03/02,23:40,0.0,,35190,,11.51,,0.0,,30.5,
2026/03/02,23:50,0.0,,35190,,11.51,,0.0,,30.5,
2026/03/02,24:00,0.0,,35221,,11.08,,0.0,,30.5,
2026/03/03,00:10,0.0,,35234,,11.51,,0.0,,30.5,
2026/03/03,00:20,0.0,,35234,,11.51,,0.0,,30.5,
2026/03/03,00:30,0.0,,35234,,11.51,,0.0,,30.5,
2026/03/03,00:40,0.0,,35234,,11.37,,0.0,,30.5,
2026/03/03,00:50,0.0,,35277,,11.51,,0.0,,30.5,
2026/03/03,01:00,0.0,,35277,,11.51,,0.0,,30.5,
2026/03/03,01:10,0.0,,35277,,11.51,,0.0,,30.5,
2026/03/03,01:20,0.0,,35277,,11.51,,0.0,,30.5,
2026/03/03,01:30,0.0,,35308,,11.22,,0.0,,30.6,
2026/03/03,01:40,0.0,,35320,,11.51,,0.0,,30.6,
2026/03/03,01:50,0.0,,35320,,11.51,,0.0,,30.6,
2026/03/03,02:00,0.0,,35320,,11.51,,0.0,,30.6,
2026/03/03,02:10,0.0,,35320,,11.22,,0.0,,30.6,
2026/03/03,02:20,0.0,,35365,,11.8,,0.0,,30.6,
2026/03/03,02:30,0.0,,35365,,11.51,,0.0,,30.6,
2026/03/03,02:40,0.0,,35365,,11.51,,0.0,,30.6,
2026/03/03,02:50,0.0,,35365,,11.51,,0.0,,30.6,
2026/03/03,03:00,0.0,,35396,,11.08,,0.0,,30.6,
2026/03/03,03:10,0.0,,35408,,11.51,,0.0,,30.7,
2026/03/03,03:20,0.0,,35408,,11.51,,0.0,,30.7,
2026/03/03,03:30,0.0,,35408,,11.51,,0.0,,30.7,
2026/03/03,03:40,0.0,,35408,,11.22,,0.0,,30.7,
2026/03/03,03:50,0.0,,35439,,10.93,,0.0,,30.7,
2026/03/03,04:00,0.0,,35451,,11.51,,0.0,,30.7,
2026/03/03,04:10,0.0,,35451,,11.51,,0.0,,30.7,
2026/03/03,04:20,0.0,,35451,,11.51,,0.0,,30.7,
2026/03/03,04:30,0.0,,35451,,10.5,,0.0,,30.7,
2026/03/03,04:40,0.0,,35482,,11.51,,0.0,,30.7,
2026/03/03,04:50,0.0,,35495,,11.51,,0.0,,30.7,
2026/03/03,05:00,0.0,,35495,,11.51,,0.0,,30.7,
2026/03/03,05:10,0.0,,35495,,11.51,,0.0,,30.7,
2026/03/03,05:20,0.0,,35526,,10.21,,0.0,,30.8,
2026/03/03,05:30,0.0,,35526,,11.51,,0.0,,30.8,
2026/03/03,05:40,0.0,,35538,,11.51,,0.0,,30.8,
2026/03/03,05:50,0.0,,35538,,11.51,,0.0,,30.8,
2026/03/03,06:00,0.0,,35538,,10.93,,0.0,,30.8,
2026/03/03,06:10,0.0,,35569,,10.79,,0.0,,30.8,
2026/03/03,06:20,0.0,,35569,,11.51,,0.0,,30.8,
2026/03/03,06:30,0.0,,35581,,11.51,,0.0,,30.8,
2026/03/03,06:40,0.0,,35581,,11.51,,0.0,,30.8,
2026/03/03,06:50,0.0,,35581,,10.21,,0.0,,30.8,
2026/03/03,07:00,0.0,,35625,,11.08,,0.0,,30.8,
2026/03/03,07:10,0.0,,35625,,11.51,,0.0,,30.8,
2026/03/03,07:20,0.0,,35625,,11.51,,0.0,,30.8,
